model,tier,n_feat,AUC,AUC_lo,AUC_hi,F1,Acc
LR,T1_surface,5,0.8843,0.8755,0.8926,0.711,0.8141
LR,T2_lexical,7,0.9019,0.8938,0.9091,0.7363,0.8324
LR,T3_full,17,0.9376,0.9313,0.9436,0.8007,0.8786
RF,T1_surface,5,0.919,0.9123,0.9251,0.7593,0.8682
RF,T2_lexical,7,0.9322,0.9262,0.9376,0.7757,0.8766
RF,T3_full,17,0.9477,0.9427,0.9527,0.8058,0.8953
GBM,T1_surface,5,0.9181,0.9115,0.9243,0.7471,0.8663
GBM,T2_lexical,7,0.9338,0.9284,0.9394,0.7727,0.8783
GBM,T3_full,17,0.955,0.9507,0.9594,0.8216,0.9042
LR,T1_surface_LC,3,0.831,0.8205,0.8403,0.6365,0.7547
LR,T2_lexical_LC,5,0.8692,0.8599,0.8777,0.6858,0.7944
LR,T3_full_LC,15,0.9328,0.9258,0.9392,0.7935,0.8736
RF,T1_surface_LC,3,0.8435,0.8336,0.8526,0.6424,0.8015
RF,T2_lexical_LC,5,0.8844,0.8759,0.8921,0.6916,0.831
RF,T3_full_LC,15,0.9389,0.9336,0.9442,0.7872,0.8853
GBM,T1_surface_LC,3,0.8564,0.847,0.8651,0.6224,0.8099
GBM,T2_lexical_LC,5,0.8863,0.878,0.8943,0.6821,0.8323
GBM,T3_full_LC,15,0.9454,0.9401,0.9509,0.8052,0.896
