model,tier,n_feat,AUC,AUC_lo,AUC_hi,F1,Acc
LR,T1_surface,5,0.8643,0.8591,0.87,0.829,0.7975
LR,T2_lexical,7,0.901,0.8965,0.9055,0.8618,0.834
LR,T3_full,17,0.922,0.918,0.9258,0.878,0.8536
RF,T1_surface,5,0.9822,0.9806,0.9837,0.9478,0.9354
RF,T2_lexical,7,0.9855,0.984,0.9869,0.9552,0.9445
RF,T3_full,17,0.9885,0.9873,0.9896,0.9587,0.9487
GBM,T1_surface,5,0.9823,0.9808,0.9838,0.9489,0.9367
GBM,T2_lexical,7,0.9865,0.9851,0.9878,0.9555,0.9447
GBM,T3_full,17,0.9901,0.989,0.9911,0.9619,0.9527
LR,T1_surface_LC,3,0.7625,0.7555,0.7699,0.7555,0.7113
LR,T2_lexical_LC,5,0.8268,0.8203,0.8333,0.7917,0.7537
LR,T3_full_LC,15,0.9081,0.9035,0.9123,0.8658,0.839
RF,T1_surface_LC,3,0.8544,0.8492,0.8599,0.8203,0.7796
RF,T2_lexical_LC,5,0.9456,0.9422,0.9489,0.9031,0.8789
RF,T3_full_LC,15,0.9687,0.9663,0.9708,0.9318,0.9137
GBM,T1_surface_LC,3,0.8623,0.8574,0.8676,0.8299,0.7874
GBM,T2_lexical_LC,5,0.9452,0.9416,0.9483,0.9029,0.8776
GBM,T3_full_LC,15,0.9728,0.9705,0.9748,0.9352,0.9187
