corpus_id,bucket,register,category,court,question_type,level,WC,FRE,ARI,TTR,MTLD,MCD,MaxCD,MLS,MLC,CT_T,DC_C,NomR,MAL,MaxAL,LeftBR,MeanArcCross,MaxArcCross,n_sent
csat_230631,high_density,csat,,,blank_filled,,147,26.004,17.991,0.7143,147.0,1.3333,2,24.833,9.933,0.8571,0.6,0.0341,2.7113,14.167,0.5524,1.4344,3.833,6
csat_230632,high_density,csat,,,blank_filled,,161,26.733,22.011,0.6087,68.52,2.5,3,40.75,9.588,1.0,0.7647,0.087,2.6818,16.75,0.4591,1.4908,4.75,4
csat_230633,high_density,csat,,,blank_filled,,147,26.21,18.967,0.6463,75.44,1.8,3,30.0,8.824,1.0,0.7059,0.1176,2.6549,18.8,0.5241,1.4656,4.0,5
csat_230634,high_density,csat,,,blank_filled,,183,34.877,17.756,0.6831,110.59,1.1667,3,31.333,11.059,0.625,0.6471,0.0989,2.6316,14.167,0.5659,1.4374,4.333,6
csat_230931,high_density,csat,,,blank_filled,,151,56.015,9.811,0.6,58.84,0.875,3,19.375,9.688,0.6667,0.5,0.0633,2.2478,10.75,0.5306,1.0104,2.875,8
csat_230932,high_density,csat,,,blank_filled,,152,47.849,12.271,0.625,73.0,0.875,2,19.125,9.0,0.8,0.5294,0.1667,2.1113,8.875,0.4138,0.918,2.875,8
csat_230933,high_density,csat,,,blank_filled,,151,45.707,14.797,0.6755,84.78,0.6667,1,25.667,11.0,0.5556,0.5714,0.0617,2.5695,14.5,0.5135,1.3417,3.833,6
csat_231132,high_density,csat,,,blank_filled,,148,50.472,13.646,0.7027,80.01,1.0,2,21.286,8.765,0.5833,0.5882,0.0824,2.7242,13.714,0.5775,1.3422,3.571,7
csat_231133,high_density,csat,,,blank_filled,,186,44.323,15.001,0.543,56.27,1.0,2,27.0,10.5,0.5,0.6667,0.07,2.3436,10.429,0.511,1.1966,3.714,7
csat_231134,high_density,csat,,,blank_filled,,176,38.625,16.947,0.5341,54.86,1.1667,2,29.833,14.917,0.4,0.5833,0.1548,3.1179,17.167,0.4104,1.8358,4.667,6
csat_240631,high_density,csat,,,blank_filled,,157,35.017,13.512,0.6688,73.76,0.6667,2,17.889,9.471,0.4615,0.5294,0.0909,2.4463,8.778,0.5066,1.2061,3.333,9
csat_240632,high_density,csat,,,blank_filled,,159,52.692,9.246,0.6226,87.5,0.8889,2,17.889,9.471,0.5,0.4706,0.0309,2.2029,8.444,0.5461,0.9362,2.778,9
csat_240633,high_density,csat,,,blank_filled,,162,49.981,11.983,0.6296,79.33,1.375,3,20.875,8.35,0.625,0.65,0.1026,2.052,7.25,0.5535,0.8759,3.0,8
csat_240634,high_density,csat,,,blank_filled,,159,34.267,15.58,0.566,46.38,1.5714,2,22.714,7.95,0.6667,0.65,0.2099,2.2763,8.143,0.5592,1.1167,3.429,7
csat_240931,high_density,csat,,,blank_filled,,147,45.096,13.709,0.6849,85.8,0.7143,3,21.286,12.417,0.4286,0.4167,0.1379,2.4761,11.857,0.5211,1.2578,3.857,7
csat_240932,high_density,csat,,,blank_filled,,140,57.943,10.937,0.5786,59.54,1.0,2,17.875,7.526,0.5833,0.5789,0.0506,2.3039,9.5,0.5037,1.0322,3.125,8
csat_240934,high_density,csat,,,blank_filled,,161,20.529,17.693,0.7081,145.52,0.75,2,21.0,10.5,0.4545,0.5,0.12,2.5281,10.125,0.45,1.1707,3.875,8
csat_241132,high_density,csat,,,blank_filled,,161,45.605,14.805,0.6149,81.79,1.3333,2,26.833,10.062,0.8333,0.6875,0.0682,2.5073,13.667,0.5097,1.3086,3.667,6
csat_241133,high_density,csat,,,blank_filled,,172,49.093,13.42,0.657,75.85,1.5714,3,24.857,6.96,0.75,0.72,0.0676,2.3332,9.143,0.497,1.1731,3.429,7
csat_241134,high_density,csat,,,blank_filled,,186,52.243,13.973,0.6667,102.44,0.875,2,24.375,13.929,0.2857,0.6429,0.1224,2.4048,11.375,0.4973,1.2058,3.625,8
csat_250631,high_density,csat,,,blank_filled,,166,31.912,13.779,0.512,39.34,1.4286,3,23.857,7.261,0.875,0.6957,0.1325,2.419,10.714,0.5813,1.2396,4.0,7
csat_250632,high_density,csat,,,blank_filled,,147,24.377,14.286,0.6463,74.36,1.5714,4,21.143,6.435,0.8462,0.6957,0.0843,2.599,9.857,0.4965,1.3259,3.571,7
csat_250633,high_density,csat,,,blank_filled,,164,11.955,20.583,0.6341,67.69,0.8333,2,27.833,12.846,0.6667,0.5385,0.1939,2.502,14.167,0.559,1.2683,3.5,6
csat_250931,high_density,csat,,,blank_filled,,168,70.053,9.827,0.5476,45.98,1.6667,3,18.667,6.0,0.7273,0.7143,0.0238,1.9355,6.0,0.5157,0.7933,2.778,9
csat_250932,high_density,csat,,,blank_filled,,163,29.571,15.208,0.6319,68.92,1.2857,2,23.429,9.111,0.7,0.6111,0.2658,2.2404,10.143,0.4586,1.0783,3.286,7
csat_250933,high_density,csat,,,blank_filled,,162,48.612,11.656,0.5062,49.53,1.0,3,20.375,9.588,0.4167,0.5294,0.2472,2.2391,8.875,0.5032,1.0929,3.25,8
csat_250934,high_density,csat,,,blank_filled,,158,37.936,13.417,0.6582,84.16,1.125,4,20.0,8.889,0.5,0.5556,0.1316,2.0808,7.125,0.4868,0.8702,3.0,8
csat_251131,high_density,csat,,,blank_filled,,170,42.35,12.728,0.6588,81.94,1.1111,4,19.0,8.143,0.6,0.5714,0.0435,2.2378,8.222,0.5185,1.0294,3.0,9
csat_251132,high_density,csat,,,blank_filled,,161,47.327,11.65,0.7081,116.14,1.0,3,18.111,7.087,0.5,0.6087,0.1222,2.3853,10.889,0.526,1.0876,3.111,9
csat_251133,high_density,csat,,,blank_filled,,145,20.678,21.317,0.7103,122.9,2.75,5,37.25,7.45,0.8,0.85,0.0972,2.8091,16.5,0.5172,1.6377,4.75,4
csat_251134,high_density,csat,,,blank_filled,,168,39.988,14.302,0.5298,45.45,1.5,2,21.125,6.259,0.8182,0.7037,0.0515,2.1181,9.625,0.472,0.951,2.5,8
csat_260631,high_density,csat,,,blank_filled,,168,42.451,16.372,0.6726,109.64,2.6,4,33.8,7.682,0.8571,0.7727,0.0698,2.8072,17.4,0.5366,1.5492,4.6,5
csat_260633,high_density,csat,,,blank_filled,,152,68.915,8.581,0.6842,82.44,1.3333,3,17.778,6.4,0.6154,0.64,0.0789,2.3008,7.889,0.5364,1.0921,2.889,9
csat_260634,high_density,csat,,,blank_filled,,174,25.283,17.164,0.6437,74.88,1.5,3,22.5,7.2,1.0,0.68,0.2323,2.7685,11.125,0.4012,1.3701,3.75,8
csat_260931,high_density,csat,,,blank_filled,,154,52.13,10.033,0.6169,66.1,1.2222,4,17.111,7.0,0.5556,0.5909,0.0256,2.0025,6.889,0.5103,0.8702,2.889,9
csat_260932,high_density,csat,,,blank_filled,,178,38.104,13.349,0.6067,82.66,1.2222,3,20.111,8.227,0.5714,0.5909,0.0707,2.3635,9.444,0.407,1.1124,3.444,9
csat_260933,high_density,csat,,,blank_filled,,168,28.854,18.531,0.6726,114.23,1.0,2,28.333,10.625,0.5833,0.625,0.0366,2.7018,16.0,0.4573,1.4664,4.0,6
csat_261132,high_density,csat,,,blank_filled,,166,36.499,15.169,0.5964,84.39,1.5714,2,24.0,8.0,0.7273,0.6667,0.2022,2.5462,13.0,0.4534,1.2766,3.143,7
csat_261133,high_density,csat,,,blank_filled,,176,29.245,15.529,0.6534,84.15,1.0,2,22.125,9.833,0.7778,0.5556,0.1038,2.6804,12.75,0.5325,1.4235,3.75,8
csat_261134,high_density,csat,,,blank_filled,,178,38.916,15.02,0.6517,110.91,1.8571,4,26.571,8.087,0.5833,0.6957,0.04,2.6163,13.143,0.5084,1.3914,4.429,7
csat_230635,high_density,csat,,,irrelevant,,149,26.125,17.463,0.651,87.28,1.8,3,30.0,8.824,0.6667,0.7059,0.175,2.3957,13.4,0.5034,1.2305,4.0,5
csat_230935,high_density,csat,,,irrelevant,,135,37.487,13.961,0.6667,105.24,1.2857,3,19.286,8.438,0.75,0.5625,0.1096,2.2011,9.0,0.4609,1.0201,3.286,7
csat_231135,high_density,csat,,,irrelevant,,143,52.49,13.938,0.7133,114.76,1.3333,3,23.833,7.526,0.6667,0.6842,0.0361,2.393,10.167,0.5036,1.2054,3.833,6
csat_240635,high_density,csat,,,irrelevant,,145,35.86,16.737,0.5448,60.27,1.3333,2,24.167,9.062,0.6,0.625,0.0227,2.6231,13.5,0.5324,1.3939,3.667,6
csat_240935,high_density,csat,,,irrelevant,,149,-0.561,22.552,0.651,78.86,0.4,1,30.4,16.889,0.3333,0.4444,0.2111,3.347,20.6,0.4558,1.8924,5.0,5
csat_241135,high_density,csat,,,irrelevant,,129,57.129,12.213,0.7364,137.04,2.3333,4,22.5,5.4,0.9,0.76,0.0986,2.6254,13.0,0.5504,1.3374,3.667,6
csat_250635,high_density,csat,,,irrelevant,,133,38.671,15.222,0.6917,133.0,1.3333,2,22.667,8.0,0.7778,0.6471,0.0253,2.5402,9.0,0.5538,1.2944,3.833,6
csat_250935,high_density,csat,,,irrelevant,,155,43.071,16.07,0.6903,116.34,1.0,2,26.5,11.357,0.5556,0.5714,0.0824,2.5887,13.5,0.4967,1.3369,3.667,6
csat_251135,high_density,csat,,,irrelevant,,153,21.705,17.24,0.6209,69.97,0.8333,1,25.5,11.769,0.8333,0.5385,0.1647,2.4024,13.5,0.4966,1.247,3.667,6
csat_260635,high_density,csat,,,irrelevant,,153,37.188,16.44,0.6928,115.47,1.3333,2,25.833,10.333,0.875,0.6,0.037,2.5457,11.0,0.5503,1.3237,4.0,6
csat_260935,high_density,csat,,,irrelevant,,139,28.728,15.974,0.6043,52.65,1.3333,2,23.167,9.929,0.625,0.5714,0.1558,2.2923,9.333,0.4662,1.1328,3.167,6
csat_261135,high_density,csat,,,irrelevant,,138,58.429,11.879,0.7029,82.08,1.5,3,23.833,7.944,0.5556,0.6667,0.0694,2.347,10.5,0.5255,1.1699,3.667,6
csat_230620,high_density,csat,,,claim,,155,65.455,10.805,0.6645,89.36,2.0,4,19.375,5.536,0.6875,0.7143,0.0353,2.2698,9.25,0.449,1.0864,3.375,8
csat_230920,high_density,csat,,,claim,,147,41.174,17.108,0.6599,83.1,2.8,5,29.6,6.727,1.0,0.8182,0.0685,2.2727,12.0,0.4755,1.0885,3.6,5
csat_231120,high_density,csat,,,claim,,134,49.141,11.41,0.694,108.76,1.5714,3,19.286,7.5,0.9,0.6111,0.1194,1.9584,5.571,0.4922,0.8544,2.571,7
csat_240620,high_density,csat,,,claim,,149,14.133,18.488,0.6443,84.66,1.0,2,30.0,11.538,0.625,0.6154,0.2529,2.2737,12.4,0.3517,1.0983,3.0,5
csat_240920,high_density,csat,,,claim,,169,71.099,7.098,0.5266,61.42,1.7273,5,15.545,5.182,0.6923,0.6667,0.1184,2.0294,7.0,0.4813,0.8568,2.818,11
csat_241120,high_density,csat,,,claim,,144,54.355,11.784,0.6319,61.05,1.4286,4,20.571,7.579,0.4167,0.6316,0.0972,2.1339,8.714,0.4818,0.9835,3.286,7
csat_250620,high_density,csat,,,claim,,160,30.132,14.654,0.5935,45.21,0.7273,3,15.0,10.312,0.7143,0.625,0.2317,1.8343,9.0,0.5195,0.7087,2.091,11
csat_250920,high_density,csat,,,claim,,132,17.228,16.688,0.6742,81.67,1.5,2,22.167,7.824,0.8571,0.6471,0.1818,2.5262,11.833,0.4803,1.3066,3.5,6
csat_251120,high_density,csat,,,claim,,133,52.029,12.672,0.6541,81.46,2.3333,3,22.333,6.091,0.8889,0.7273,0.0694,2.2074,8.667,0.5469,1.073,3.167,6
csat_260620,high_density,csat,,,claim,,137,32.603,12.47,0.7445,150.15,2.0,3,17.125,4.724,1.0,0.7241,0.1184,2.3563,9.125,0.5194,1.0882,3.25,8
csat_260920,high_density,csat,,,claim,,123,50.063,12.437,0.7398,132.38,1.2857,2,17.571,6.474,0.6364,0.6316,0.058,2.283,8.0,0.5086,1.1017,3.429,7
