,PC1,PC2,PC3,PC4
MCD,0.34730980458699257,-0.3450261089840909,0.01940539020314898,0.04632655232332535
MaxCD,0.12296326166195382,-0.41902039363813953,-0.3093987642052761,0.665538578539715
DC_C,0.28994268193988465,-0.42600063121170756,-0.12898178364109522,-0.022470265969402325
CT_T,0.19620277014867832,-0.38495916056979984,0.1703536158565187,-0.6066072508793595
MLC,0.06948745293276373,0.4643966503017358,-0.21303055832660517,0.14286098985351442
MAL,0.42743780342121906,0.22401707431834744,0.05806342662284174,0.0045410422901623615
MaxAL,0.4169739778175073,0.15339699464072046,-0.1422895097669113,0.075066901052118
LeftBR,0.011393377438054846,-0.04490317958008176,0.8799999329280211,0.3984113746954561
MeanArcCross,0.4413459078748392,0.21474099826388676,0.0763658410797439,-0.0065839929094025085
MaxArcCross,0.4305563268165776,0.19544889997402629,0.0949098102079267,-0.039938525048997
